station	cover	gps	picture	comment	cores	loripes
D01_A	100	007	0312	zn	0	NA
D01_B	100	008	0313	zn	0	NA
D01_C	50	009	0314	zn	0	NA
D01_D	65	010	0318	zn	0	NA
D01_E	80	011	0319	zn	0	NA
D01_F	100	012	0320	zn	0	NA
D01_G	100	013	0321	zn	0	NA
D01_H	75	014	0322	zn	0	NA
D01_I	30	015	0323	zn	0	NA
D01_J	100	017	0324	zn	0	NA
D01_K	100	018	0325	zn	0	NA
D01_L	100	019	0326	zn	0	NA
D01_M	25	020	0327	zn	0	NA
D01_N	75	021	0337	zn	0	NA
D01_O	60	022	0349	zn	0	NA
D01_P	70	023	0350	zn	0	NA
D01_Q	90	024	0355	zn	0	NA
D01_R	NA	025	0357	worm_reef	0	NA
D01_S	0	026	0358	sand	0	NA
D01_T	NA	027	0359	shell	0	NA
D02_A	100	28	0376	zn	0	NA
D02_B	100	29	0377	zn	0	NA
D02_C	73	30	0378	zn	0	NA
D02_D	60	31	0379	zn	0	NA
D02_E	100	32	0381	zn	0	NA
D02_F	100	33	0382	zn	0	NA
D02_G	100	34	0384	zn	0	NA
D02_H	90	35	0385	zn	0	NA
D02_I	100	36	0386	zn	0	NA
D02_J	75	37	0387	zn	0	NA
D02_K	35	38	0388	zn	0	NA
D02_L	20	39	0392	zn	0	NA
D02_M	100	40	0393	zn	0	NA
D02_N	100	41	0395	zn	0	NA
D02_O	100	42	0396	zn	0	NA
D02_P	40	43	0397	zn	0	NA
D02_Q	85	42	0398	zn	0	NA
D02_R	0	43	0399	sand	0	NA
D02_C327	100	NA	NA	zn	327	25
D02_C362	100	NA	NA	zn	362	49
D02_C367	80	NA	NA	zn	367	33
D02_C371	100	NA	NA	zn	371	52
D02_C386	57	NA	NA	zn	386	23
D02_C396	100	NA	NA	zn	396	34
D03_A	50	37	0400	zn	0	NA
D03_B	20	38	0401	zn	0	NA
D03_C	0	40	0402	sand	0	NA
D03_D	10	39	0403	zn	0	NA
D03_E	0	41	0404	sand	0	NA
D03_F	15	42	0405	zn	0	NA
D03_G	20	43	0406	zn	0	NA
D03_H	0	44	0407	mpb	0	NA
D03_I	95	45	0408	zn	0	NA
D03_J	40	46	0409	zn	0	NA
D03_K	95	47	0415	zn	0	NA
D03_L	40	48	0416	zn	0	NA
D03_M	60	49	0417	zn	0	NA
D03_N	40	50	0420	zn	0	NA
D03_O	75	51	0421	zn	0	NA
D03_P	100	52	0423	zn	0	NA
D03_Q	95	53	0424	zn	0	NA
D03_R	0	54	0425	cyano	0	NA
D03_S	0	55	0426	cyano	0	NA
D03_T	0	56	0427	green_algae	0	NA
D03_U	0	57	0428	green_algae	0	NA
D03_V	0	58	0429	green_algae	0	NA
D04_A	0	NA	NA	spartina	0	NA
D04_B	0	NA	NA	spartina	0	NA
D04_C	0	NA	NA	spartina	0	NA
D04_D	0	NA	NA	sand	0	NA
D04_E	0	NA	NA	sand	0	NA
D04_F	1	NA	NA	mangrove	0	NA
